filename/tiff,derivative filename/jpeg,identifier/filename,title,description,isFormatOf/OrigItemNo.,date,subject/topic,subject/location,spatial/location/latitude/longitude (degrees),extent/size,tablecontents/boxes/folders,medium/format/type,source/RG#/MS#,isPartOf/Collection,creator/photographer,contributor/collector,rights,publisher/repository,language,rosetta collection
,mb001.jpg,mb001,Trailer,Trailer on the road,1088.jpg,,Marching Band,Lincoln (Neb.),,,,,n/a,UNL Band Office Photographs,Unknown,,"For copyright information, please contact the UNL Band Office",University of Nebraska Bands,,
,mb002.jpg,mb002,Bill Tomek in front of trailer,"Dr. John Richmond, Bill Tomek (donor), Dr. Carolyn Barber, and Dr. Lucy Buntain Comine stand in front of the trailer",IMG_7899.jpg,2010,Marching Band,Lincoln (Neb.),,,,,n/a,UNL Band Office Photographs,Rose Johnson,,"For copyright information, please contact the UNL Band Office",,,
,mb003.jpg,mb003,First version of trailer wrap,First version of trailer wrap,IMG_7894.JPG,2010,Marching Band,Lincoln (Neb.),,,,,n/a,UNL Band Office Photographs,University Photographer,,"For copyright information, please contact the UNL Band Office",,,
,mb004.jpg,mb004,First version of trailer wrap,First version of trailer wrap,IMG_7906.JPG,2010,Marching Band,Lincoln (Neb.),,,,,n/a,UNL Band Office Photographs,Rose Johnson,,"For copyright information, please contact the UNL Band Office",,,
,mb005.jpg,mb005,Trailer redesign,Second version of trailer wrap,JTM_0394.jpg,2016,Marching Band,Lincoln (Neb.),,,,,n/a,UNL Band Office Photographs,Justin Mohling,,"For copyright information, please contact the UNL Band Office",,,
,mb006.jpg,mb006,Unloading truck for rehearsal,Unloading truck in St. Louis for rehearsal during trip to Nebraska vs Illinois football game,IMG_6899.JPG,2015,Marching Band,Lincoln (Neb.),,,,,n/a,UNL Band Office Photographs,Rose Johnson,,"For copyright information, please contact the UNL Band Office",,,
,mb007.jpg,mb007,Pregame fly-over,Stealth bomber fly-over during Nebraska vs Colorado football game. Band alum Joe Manglitz is flying the plane,180908_HuskerBand_vsColorado-24.jpg,2018,Marching Band,Lincoln (Neb.),,,,,n/a,UNL Band Office Photographs,Justin Mohling,,"For copyright information, please contact the UNL Band Office",,,
,mb008.jpg,mb008,"Joe Manglitz, drum major",Shot of Joe Manglitz - 2005 drum major,2005\ Joe\ Manglitz\ 001,2005,Marching Band,Lincoln (Neb.),,,,,n/a,UNL Band Office Photographs,Rose Johnson,,"For copyright information, please contact the UNL Band Office",,,
,mb009.jpg,mb009,Big Red Express at 2017 NCAA Volleyball Championship,Cell phone photo of Big Red Express after the 2017 NCAA Volleyball Championship game,FB_IMG_1513608193701,2017,Marching Band,Lincoln (Neb.),,,,,n/a,UNL Band Office Photographs,unknown,,"For copyright information, please contact the UNL Band Office",,,
,mb010.jpg,mb010,Sudler trophy,Sudler trophy in the stadium during the presentation,Sudler\ Trophy\ Presentation,1996,Marching Band,Lincoln (Neb.),,,,,n/a,UNL Band Office Photographs,David Puckett,,"For copyright information, please contact the UNL Band Office",,,
,mb011.jpg,mb011,"Diane Miller Frost, first female drum major",First female drum major Diane Miller Frost,Drum\ Major\ Diane\ Miller\ Frost,1976,Marching Band,Lincoln (Neb.),,,,,n/a,UNL Band Office Photographs,Kevin Higley,,"For copyright information, please contact the UNL Band Office",,,
,mb012.jpg,mb012,Lord and lady of the castle,Band attended a medieval banquet in Knappogue Castle on March 19. Mike Veak & Rose Johnson were the Lord and Lady of the castle,Rose-Mike_Knappogue-Castle,1996,Marching Band,Lincoln (Neb.),,,,,n/a,UNL Band Office Photographs,unknown,,"For copyright information, please contact the UNL Band Office",,,
,mb013.jpg,mb013,Knappogue Castle,"Castle is near Limerick, Ireland and was built in 1467.",Knappogue\ Castle.jpg,1996,Marching Band,Lincoln (Neb.),,,,,n/a,UNL Band Office Photographs,unknown,,"For copyright information, please contact the UNL Band Office",,,
,mb014.jpg,mb014,St. Patrick's Day Parade,Photo of band during the St. Patrick's Day Parade,1996_Ireland-Parade_001,1996,Marching Band,Lincoln (Neb.),,,,,n/a,UNL Band Office Photographs,Rose Johnson,,"For copyright information, please contact the UNL Band Office",,,
,mb015.jpg,mb015,Drum Majors Becky McGuire and David Puckett,Drum Majors Becky McGuire and David Puckett,DrumMajors_1996_Ireland,1996,Marching Band,Lincoln (Neb.),,,,,n/a,UNL Band Office Photographs,Rose Johnson,,"For copyright information, please contact the UNL Band Office",,,
,mb016.jpg,mb016,First front ensemble,The first UNL front ensemble,UNL\ Front\ Ensemble\ 1999.jpg,1999,Marching Band,Lincoln (Neb.),,,,,n/a,UNL Band Office Photographs,Tony Falcone,,"For copyright information, please contact the UNL Band Office",,,
,mb017.jpg,mb017,First front ensemble rehearsing,The first UNL front ensemble rehearsing,UNL\ Front\ Ensemble\ in\ rehearsal\ 1999.jpg,1999,Marching Band,Lincoln (Neb.),,,,,n/a,UNL Band Office Photographs,Tony Falcone,,"For copyright information, please contact the UNL Band Office",,,
,mb018.jpg,mb018,St. Patrick's Day Parade,St. Patrick's Day Parade in Ireland,295199_10150801292471844_815617835_n.jpg,1996,Marching Band,Lincoln (Neb.),,,,,n/a,UNL Band Office Photographs,unknown,,"For copyright information, please contact the UNL Band Office",,,
,mb019.jpg,mb019,St. Patrick's Day Parade,St. Patrick's Day Parade in Ireland,Parade1.JPG,2000,Marching Band,Lincoln (Neb.),,,,,n/a,UNL Band Office Photographs,unknown,,"For copyright information, please contact the UNL Band Office",,,
